CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,DEPARTAMENTAL,FORMATO,HORARIO
21-01-0299-46,21-004,JALAPA,JALAPA,CENTRO DE ESTUDIOS DE INGENIERIA Y ARQUITECTURA REMBRANDT,6 CALLE E 0-49 COLONIA BONILLA ZONA 1 BARRIO LA ESPERANZA,79228008,VICTOR MANUEL PORTILLO RECINOS,JEIMY AZUCENA ARRIAZA ORTIZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,JALAPA,PRESENCIAL,DIARIO
21-01-0302-46,21-004,JALAPA,JALAPA,INSTITUTO PARTICULAR MIXTO LICEO GENESIS,CALLE TRANSITO ROJAS 0-36 ZONA 6 BARRIO CHIPILAPA,42084457,VICTOR MANUEL PORTILLO RECINOS,NESTOR EFRAIN SANDOVAL CAMPOS,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,JALAPA,PRESENCIAL,FIN_DE_SEMANA
21-01-0306-46,21-004,JALAPA,JALAPA,CENTRO DE ESTUDIOS DE INGENIERIA Y ARQUITECTURA REMBRANDT,6 CALLE E 0-49 COLONIA BONILLA ZONA 1 BARRIO LA ESPERANZA,79228008,VICTOR MANUEL PORTILLO RECINOS,BERTA ELIZABETH NAJERA JIMENEZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,JALAPA,PRESENCIAL,FIN_DE_SEMANA
21-01-0315-46,21-004,JALAPA,JALAPA,CENTRO DE ESTUDIOS DE INGENIERIA Y ARQUITECTURA REMBRANDT,6 CALLE E 0-49 COLONIA BONILLA ZONA 1 BARRIO LA ESPERANZA,79228008,VICTOR MANUEL PORTILLO RECINOS,JEIMY AZUCENA ARRIAZA ORTIZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,JALAPA,PRESENCIAL,DIARIO
21-01-0325-46,21-004,JALAPA,JALAPA,INSTITUTO PRIVADO LICEO INTERAMERICANO,1 AVENIDA 0-45 ZONA 6 BARRIO CHIPILAPA,41963272,VICTOR MANUEL PORTILLO RECINOS,JOSE BAUDILIO CASTANEDA TELLES,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,JALAPA,PRESENCIAL,FIN_DE_SEMANA
21-01-0329-46,21-004,JALAPA,JALAPA,COLEGIO PARTICULAR MIXTO LICEO JALAPA,CALLE TRANSITO ROJAS 7-60 ZONA 1 BARRIO LA DEMOCRACIA,79220013,VICTOR MANUEL PORTILLO RECINOS,LESLY PRISCILA CARRERA RUIZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,JALAPA,PRESENCIAL,DIARIO
21-01-0336-46,21-004,JALAPA,JALAPA,COLEGIO PARTICULAR MIXTO LICEO NUEVO MILENIO,1 CALLE A ZONA 3 RESIDENCIALES NUEVA JERUSALEN,50000098,VICTOR MANUEL PORTILLO RECINOS,JORGE MARIO AQUINO MAZARIEGOS,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,JALAPA,PRESENCIAL,FIN_DE_SEMANA
21-01-0344-46,21-004,JALAPA,JALAPA,INSTITUTO TECNICO INSDUSTRIAL ALBERT EINSTEIN,7 AVENIDA 2-46 ZONA 1 BARRIO LA DEMOCRACIA,79225240,VICTOR MANUEL PORTILLO RECINOS,CLAUDIA SUCELY JIMENEZ JACOBO,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,JALAPA,PRESENCIAL,FIN_DE_SEMANA
21-01-0349-46,21-004,JALAPA,JALAPA,COLEGIO PRIVADO MONTE ALTO,2 CALLE CALLE 8-61 ZONA 1 BARRIO LA DEMOCRACIA,55630606,VICTOR MANUEL PORTILLO RECINOS,KENNETH JULIO CASTILLO SANTIAGO,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,JALAPA,PRESENCIAL,DIARIO
21-01-0350-46,21-004,JALAPA,JALAPA,COLEGIO PRIVADO MONTE ALTO,2 CALLE CALLE 8-61 ZONA 1 BARRIO LA DEMOCRACIA,55630606,VICTOR MANUEL PORTILLO RECINOS,EDNA ADELINA SANTIAGO ORDONEZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,JALAPA,PRESENCIAL,DIARIO
21-01-0352-46,21-004,JALAPA,JALAPA,COLEGIO PRIVADO MONTE ALTO,2 CALLE CALLE 8-61 ZONA 1 BARRIO LA DEMOCRACIA,55630606,VICTOR MANUEL PORTILLO RECINOS,KENNETH JULIO CASTILLO SANTIAGO,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,JALAPA,PRESENCIAL,FIN_DE_SEMANA
21-01-0357-46,21-004,JALAPA,JALAPA,COLEGIO NUESTRA SENORA DE LOS ANGELES,BARRIO LLANO GRANDE,55723437,VICTOR MANUEL PORTILLO RECINOS,GLENDY MARITZA NAJERA HERNANDEZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,JALAPA,PRESENCIAL,DIARIO
21-01-0359-46,21-004,JALAPA,JALAPA,COLEGIO PARTICULAR MIXTO LICEO JALAPA,CALLE TRANSITO ROJAS 7-60 ZONA 1 BARRIO LA DEMOCRACIA,79220013,VICTOR MANUEL PORTILLO RECINOS,LESLY PRISCILA CARRERA RUIZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,JALAPA,PRESENCIAL,FIN_DE_SEMANA
21-01-0361-46,21-004,JALAPA,JALAPA,INSTITUTO GUATEMALTECO DE AVIACION Y TURISMO IGAT,3 AVENIDA 0-51 ZONA 1 BARRIO LA DEMOCRACIA,79223446,VICTOR MANUEL PORTILLO RECINOS,BEATRIZ ADRIANA LINARES MONZON,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,JALAPA,PRESENCIAL,DIARIO
21-01-0369-46,21-004,JALAPA,JALAPA,COLEGIO PARTICULAR MIXTO OSCAR DE LEON PALACIOS,LOTES 6 7 159 160 LOTIFICACION LOS EUCALIPTOS,56963730,VICTOR MANUEL PORTILLO RECINOS,LUCERO ZELESTE MORALES CONTRERAS,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,JALAPA,PRESENCIAL,FIN_DE_SEMANA
21-01-0373-46,21-004,JALAPA,JALAPA,COLEGIO PARTICULAR PARA SENORITAS MADRE ANGELA,BARRIO LLANO GRANDE,51534709,VICTOR MANUEL PORTILLO RECINOS,GLENDY MARITZA NAJERA HERNANDEZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,JALAPA,PRESENCIAL,DIARIO
21-01-0375-46,21-004,JALAPA,JALAPA,COLEGIO JARDIN INFANTIL AGAZZI,CALLE TRANSITO ROJAS 2-41 ZONA 1 BARRIO CHIPILAPA,39051455,VICTOR MANUEL PORTILLO RECINOS,HENRY EDILBERTO ESTRADA AGUILAR,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,JALAPA,PRESENCIAL,DIARIO
21-01-0377-46,21-004,JALAPA,JALAPA,COLEGIO ADVENTISTA MORIA,2 AVENIDA A 0-84 ZONA 2 BARRIO SAN FRANCISCO,79222901,VICTOR MANUEL PORTILLO RECINOS,WIDMER RONEL PAZ COLINDRES,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,JALAPA,PRESENCIAL,DIARIO
21-01-0382-46,21-004,JALAPA,JALAPA,COLEGIO PREUNIVERSITARIO JUAN PABLO II,CALLE TRANSITO ROJAS 0-73 ZONA 5,59807483,VICTOR MANUEL PORTILLO RECINOS,LAZARO HAROLDO REVOLORIO LOPEZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,JALAPA,PRESENCIAL,FIN_DE_SEMANA
21-01-0386-46,21-004,JALAPA,JALAPA,COLEGIO MIXTO BILINGUE DISCOVERY,3 CALLE 0-59 ZONA 6 BARRIO CHIPILAPA,79225150,VICTOR MANUEL PORTILLO RECINOS,CORINA SUSIBEL ORTIZ GONZALEZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,JALAPA,PRESENCIAL,DIARIO
21-01-0389-46,21-004,JALAPA,JALAPA,INSTITUTO TECNICO INSDUSTRIAL ALBERT EINSTEIN,7 AVENIDA 2-46 ZONA 1 BARRIO LA DEMOCRACIA,79225240,VICTOR MANUEL PORTILLO RECINOS,CLAUDIA SUCELY JIMENEZ JACOBO,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,JALAPA,PRESENCIAL,DIARIO
21-01-0390-46,21-025,JALAPA,JALAPA,PROGRAMA NACIONAL DE EDUCACION ALTERNATIVA PRONEA,2 AVENIDA FINAL FRENTE AL COMPLEJO DEPORTIVO,79224294,ZOILA LIGIA ELIZABETH MARTINEZ GUZMAN DE CARIAS,ZOILA LIGIA ELIZABETH MARTINEZ GUZMAN,DIVERSIFICADO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,DOBLE,JALAPA,REMOTO,FLEXIBLE
21-01-0391-46,21-002,JALAPA,JALAPA,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,CALZADA JUAN JOSE BONILLA 3-02 ZONA 2 BARRIO SAN FRANCISCO,30216212,JORGE ADELINO PEREZ UCELO,KAREN ODILI ESCOBAR GARCIA,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,DOBLE,JALAPA,PRESENCIAL,DIARIO
21-01-0397-46,21-004,JALAPA,JALAPA,COLEGIO PARTICULAR MIXTO LICEO JALAPA,CALLE TRANSITO ROJAS 7-60 ZONA 1 BARRIO LA DEMOCRACIA,79220013,VICTOR MANUEL PORTILLO RECINOS,LESLY PRISCILA CARRERA RUIZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,SIN JORNADA,JALAPA,SEMIPRESENCIAL,UN_DIA_SEMANA
21-01-0400-46,21-004,JALAPA,JALAPA,INSTITUTO TECNICO PROFESIONAL MIGUEL ANGEL ASTURIAS,1 CALLE 6-61 ZONA 1 BARRIO LA DEMOCRACIA,79222110,VICTOR MANUEL PORTILLO RECINOS,MIRIAM CONSUELO CARIAS PEREZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,SIN JORNADA,JALAPA,SEMIPRESENCIAL,UN_DIA_SEMANA
21-01-0401-46,21-004,JALAPA,JALAPA,INSTITUTO PARTICULAR MIXTO LICEO GENESIS,CALLE TRANSITO ROJAS 0-36 ZONA 6 BARRIO CHIPILAPA,42084457,VICTOR MANUEL PORTILLO RECINOS,NESTOR EFRAIN SANDOVAL CAMPOS,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,SIN JORNADA,JALAPA,SEMIPRESENCIAL,UN_DIA_SEMANA
21-01-0404-46,21-004,JALAPA,JALAPA,INSTITUTO PRIVADO LICEO INTERAMERICANO,1 AVENIDA 0-45 ZONA 6 BARRIO CHIPILAPA,41963272,VICTOR MANUEL PORTILLO RECINOS,JOSE BAUDILIO CASTANEDA TELLES,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,SIN JORNADA,JALAPA,SEMIPRESENCIAL,UN_DIA_SEMANA
21-01-0405-46,21-004,JALAPA,JALAPA,COLEGIO SAGRADO CORAZON,3 CALLE 2-47 ZONA 2 BARRIO SAN FRANCISCO,79227637,VICTOR MANUEL PORTILLO RECINOS,FRANCISCO AUGUSTO CARRILLO HERNANDEZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,SIN JORNADA,JALAPA,SEMIPRESENCIAL,UN_DIA_SEMANA
21-01-0407-46,21-004,JALAPA,JALAPA,COLEGIO PARTICULAR MIXTO OSCAR DE LEON PALACIOS,LOTES 6 7 159 160 LOTIFICACION LOS EUCALIPTOS,79220029,VICTOR MANUEL PORTILLO RECINOS,LUCERO ZELESTE MORALES CONTRERAS,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,SIN JORNADA,JALAPA,SEMIPRESENCIAL,UN_DIA_SEMANA
21-01-0409-46,21-004,JALAPA,JALAPA,COLEGIO PRIVADO MONTE ALTO,2 CALLE CALLE 8-61 ZONA 1 BARRIO LA DEMOCRACIA,78265977,VICTOR MANUEL PORTILLO RECINOS,KENNETH JULIO CASTILLO SANTIAGO,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,SIN JORNADA,JALAPA,SEMIPRESENCIAL,UN_DIA_SEMANA
21-01-0411-46,21-004,JALAPA,JALAPA,COLEGIO PREUNIVERSITARIO JUAN PABLO II,CALLE TRANSITO ROJAS 0-73 ZONA 5,79225275,VICTOR MANUEL PORTILLO RECINOS,LAZARO HAROLDO REVOLORIO LOPEZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,SIN JORNADA,JALAPA,SEMIPRESENCIAL,UN_DIA_SEMANA
21-01-0413-46,21-004,JALAPA,JALAPA,INSTITUTO PARTICULAR MIXTO DE BACHILLERATO POR MADUREZ XALAPAN,1 CALLE 2-06 ZONA 1,42162211,VICTOR MANUEL PORTILLO RECINOS,JOSE GUILLERMO RODAS GUDIEL,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,SIN JORNADA,JALAPA,SEMIPRESENCIAL,UN_DIA_SEMANA
21-01-0415-46,21-004,JALAPA,JALAPA,INSTITUTO TECNICO INSDUSTRIAL ALBERT EINSTEIN,7 AVENIDA 2-46 ZONA 1 BARRIO LA DEMOCRACIA,79225240,VICTOR MANUEL PORTILLO RECINOS,CLAUDIA SUCELY JIMENEZ JACOBO,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,SIN JORNADA,JALAPA,SEMIPRESENCIAL,UN_DIA_SEMANA
21-01-0417-46,21-004,JALAPA,JALAPA,COLEGIO PARTICULAR MIXTO LICEO NUEVO MILENIO,1 CALLE A RESIDENCIALES NUEVA JERUSALEM,42510206,VICTOR MANUEL PORTILLO RECINOS,JORGE MARIO AQUINO MAZARIEGOS,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,SIN JORNADA,JALAPA,SEMIPRESENCIAL,UN_DIA_SEMANA
21-01-0420-46,21-004,JALAPA,JALAPA,COLEGIO PRIVADO MIXTO DE EDUCACION BASICA EDUCARE,6 AVENIDA 0-67 ZONA 5 BARRIO SAN FRANCISCO,51948259,VICTOR MANUEL PORTILLO RECINOS,DORA ISABEL ELIAS,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,SIN JORNADA,JALAPA,SEMIPRESENCIAL,FIN_DE_SEMANA
21-01-0421-46,21-025,JALAPA,JALAPA,CENTRO DE EDUCACION EXTRAESCOLAR CEEX DEPARTAMENTAL JALAPA,2 AVENIDA FINAL FRENTE AL COMPLEJO DEPORTIVO,79224294,ZOILA LIGIA ELIZABETH MARTINEZ GUZMAN DE CARIAS,OSCAR HUMBERTO AGUILAR ALVIZURES,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,DOBLE,JALAPA,SEMIPRESENCIAL,FLEXIBLE
21-01-0422-46,21-004,JALAPA,JALAPA,CENTRO EDUCATIVO PALABRA DE VIDA,ALDEA LA PASTORIA POTRERO CARRILLO,40701530,VICTOR MANUEL PORTILLO RECINOS,LILIAN YOLANDA CHAVARRIA PACHECO,DIVERSIFICADO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,JALAPA,PRESENCIAL,DIARIO
21-01-0423-46,21-004,JALAPA,JALAPA,COLEGIO BILINGUE EL BOSQUE,5 AVENIDA 1-39 ZONA 2 BARRIO SAN FRANCISCO,58127940,VICTOR MANUEL PORTILLO RECINOS,WALTER ELIU LOPEZ OSCAL,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,JALAPA,PRESENCIAL,DIARIO
21-01-0424-46,21-004,JALAPA,JALAPA,CENTRO DE ESTUDIOS DE INGENIERIA Y ARQUITECTURA REMBRANDT,6 CALLE E 0-49 COLONIA BONILLA ZONA 1,79225800,VICTOR MANUEL PORTILLO RECINOS,BERTA ELIZABETH NAJERA JIMENEZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,SIN JORNADA,JALAPA,SEMIPRESENCIAL,UN_DIA_SEMANA
21-01-0426-46,21-004,JALAPA,JALAPA,INSTITUTO ACTIVO BILINGUE NUEVA GUATEMALA,1 AVENIDA 0-45 ZONA 1 BARRIO LA ESPERANZA,35704663,VICTOR MANUEL PORTILLO RECINOS,DENISSE EVELIN CASTELLANOS FUENTES,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,JALAPA,PRESENCIAL,DIARIO
21-01-0427-46,21-004,JALAPA,JALAPA,INSTITUTO ACTIVO BILINGUE NUEVA GUATEMALA,1 AVENIDA 0-45 ZONA 1 BARRIO LA ESPERANZA,37934317,VICTOR MANUEL PORTILLO RECINOS,DENISSE EVELIN CASTELLANOS FUENTES,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,JALAPA,PRESENCIAL,FIN_DE_SEMANA
21-01-0428-46,21-004,JALAPA,JALAPA,INSTITUTO ACTIVO BILINGUE NUEVA GUATEMALA,1 AVENIDA 0-45 ZONA 1 BARRIO LA ESPERANZA,37934317,VICTOR MANUEL PORTILLO RECINOS,DENISSE EVELIN CASTELLANOS FUENTES,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,SIN JORNADA,JALAPA,SEMIPRESENCIAL,UN_DIA_SEMANA
21-01-0437-46,21-004,JALAPA,JALAPA,COLEGIO PARTICULAR MIXTO OSCAR DE LEON PALACIOS,LOTES 6 7 159 160 LOTIFICACION LOS EUCALIPTOS,78220029,VICTOR MANUEL PORTILLO RECINOS,LUCERO ZELESTE MORALES CONTRERAS,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,JALAPA,PRESENCIAL,DIARIO
21-01-0439-46,21-024,JALAPA,JALAPA,INSTITUTO DE EDUCACION DIVERSIFICADA POR COOPERATIVA DE ENSENANZA,ALDEA LOS IZOTES,30149275,ERIKA PATRICIA CUELLAR ESCOBAR,MARVIN ORLANDO LOPEZ RAYMUNDO,DIVERSIFICADO,COOPERATIVA,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,JALAPA,PRESENCIAL,DIARIO
21-01-0442-46,21-004,JALAPA,JALAPA,COLEGIO ACTIVA JALAPA,CALLE TRANSITO ROJAS 8-87 ZONA 5,42162646,VICTOR MANUEL PORTILLO RECINOS,FRANCISCA DEL ROSARIO GIRON GALVEZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,JALAPA,PRESENCIAL,DIARIO
21-01-0789-46,21-004,JALAPA,JALAPA,INSTITUTO TECNICO PROFESIONAL MIGUEL ANGEL ASTURIAS,1 CALLE 6-61 ZONA 1 BARRIO LA DEMOCRACIA,79222110,VICTOR MANUEL PORTILLO RECINOS,MIRIAM CONSUELO CARIAS PEREZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,JALAPA,PRESENCIAL,DIARIO
21-01-0823-46,21-004,JALAPA,JALAPA,INSTITUTO TECNICO INSDUSTRIAL ALBERT EINSTEIN,7 AVENIDA 2-46 ZONA 1 BARRIO LA DEMOCRACIA,79225240,VICTOR MANUEL PORTILLO RECINOS,CLAUDIA SUCELY JIMENEZ JACOBO,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,JALAPA,PRESENCIAL,DIARIO
21-01-0902-46,21-002,JALAPA,JALAPA,INSTITUTO ADOLFO V HALL DE JALAPA,CASERIO LLANO GRANDE KM 1669,79224560,JORGE ADELINO PEREZ UCELO,JUAN CARLOS NAJERA VALLE,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,DOBLE,JALAPA,PRESENCIAL,DIARIO
21-01-1232-46,21-002,JALAPA,JALAPA,ESCUELA NORMAL DE EDUCACION FISICA,AREA ESCOLAR NO 3 COLONIA BOSQUES DE VIENA,79222073,JORGE ADELINO PEREZ UCELO,SILVIA MAGALI AQUINO LOPEZ,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,DOBLE,JALAPA,PRESENCIAL,DIARIO
21-01-1252-46,21-004,JALAPA,JALAPA,INSTITUTO TECNICO PROFESIONAL MIGUEL ANGEL ASTURIAS,1 CALLE 6-61 ZONA 1 BARRIO LA DEMOCRACIA,79222110,VICTOR MANUEL PORTILLO RECINOS,MIRIAM CONSUELO CARIAS PEREZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,JALAPA,PRESENCIAL,FIN_DE_SEMANA
21-01-1331-46,21-004,JALAPA,JALAPA,COLEGIO PREUNIVERSITARIO JUAN PABLO II,CALLE TRANSITO ROJAS 0-73 ZONA 5 BARRIO CHIPILAPA,79222677,VICTOR MANUEL PORTILLO RECINOS,AROLDO CASTRO MEDINA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,JALAPA,PRESENCIAL,DIARIO
21-01-1376-46,21-002,JALAPA,JALAPA,ESCUELA NORMAL DE PARVULOS,COLONIA BOSQUES DE VIENA ZONA 2 BARRIO SAN FRANCISCO,79223350,JORGE ADELINO PEREZ UCELO,ROSA LIZZETH PENATE SANTIAGO,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,JALAPA,PRESENCIAL,DIARIO
21-01-1379-46,21-004,JALAPA,JALAPA,COLEGIO SAGRADO CORAZON,3 CALLE 2-47 ZONA 2 BARRIO SAN FRANCISCO,79227638,VICTOR MANUEL PORTILLO RECINOS,EFRAIN DE JESUS SALAZAR PERALTA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,JALAPA,PRESENCIAL,DIARIO
21-02-0050-46,21-006,JALAPA,SAN PEDRO PINULA,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,BARRIO SAN JOSE,59091890,CARLOS ANTONIO CORDERO TRIGUEROS,BERFILIO OTONIEL PEREZ MENDEZ,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,JALAPA,PRESENCIAL,DIARIO
